"true_N","true_ICC","true_AR1","true_event_rate","signal_mode","n_events","actual_event_rate","regen","empirical_icc","empirical_ar1","naive_mean","naive_sd","s10_mean","s10_sd","s5_mean","loco_auroc","true_auroc","optimism_naive_true","resid_s10_true","resid_s5_true","resid_loco_true","optimism_naive_loco","dev_s10_loco","fit_status","folds_ok","flagged","naive_reps_valid","s10_reps_valid","s5_reps_valid","loco_valid"
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.132866551883108,0.485194149519915,0.8171875,0.0105460712142274,0.625,0.0465847495312456,0.6296875,0.625,0.557108367820826,0.260079132179174,0.0678916321791742,0.0725791321791741,0.0678916321791742,0.1921875,0,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,0,0.132866551883108,0.485194149519915,1,0,0.988235294117647,0.0248021777268108,0.986274509803922,1,0.583029355567136,0.416970644432864,0.405205938550511,0.403245154236786,0.416970644432864,0,-0.0117647058823529,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,0,0.120773782381284,0.468045416858615,0.9921875,0.00823509807335516,0.8359375,0.037737960276535,0.81875,0.828125,0.541800559718789,0.450386940281211,0.294136940281211,0.276949440281211,0.286324440281211,0.1640625,0.0078125,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,0,0.120773782381284,0.468045416858615,0.9921875,0.00823509807335516,0.8359375,0.037737960276535,0.81875,0.828125,0.566745434280413,0.425442065719587,0.269192065719587,0.252004565719587,0.261379565719587,0.1640625,0.0078125,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",4,0.2,3,0.121874007966583,0.470123546213423,0.90625,0,0.734375,0.0531147865999248,0.7296875,0.75,0.50454840805718,0.40170159194282,0.22982659194282,0.22513909194282,0.24545159194282,0.15625,-0.015625,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",4,0.2,3,0.121874007966583,0.470123546213423,0.921875,0.00736569563735987,0.5578125,0.0471922137086429,0.56875,0.515625,0.566888816123171,0.354986183876829,-0.00907631612317095,0.00186118387682899,-0.051263816123171,0.40625,0.0421875,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",5,0.25,0,0.138921716033804,0.431815780273979,0.772,0.0146733991281948,0.602666666666667,0.101309938819958,0.566666666666667,0.64,0.522153002198021,0.249846997801979,0.0805136644686455,0.0445136644686455,0.117846997801979,0.132,-0.0373333333333333,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",6,0.3,0,0.138921716033804,0.431815780273979,0.854761904761905,0.00752923252421045,0.654761904761905,0.0296956935458249,0.642857142857143,0.654761904761905,0.557417256911201,0.297344647850704,0.0973446478507035,0.0854398859459415,0.0973446478507035,0.2,0,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"baseline",3,0.15,1,0.118359325696622,0.433319695674346,0.913725490196078,0.0230154468779856,0.6,0.0405017866270057,0.6,0.588235294117647,0.513819038336582,0.399906451859496,0.0861809616634178,0.0861809616634178,0.0744162557810649,0.325490196078431,0.0117647058823529,"ok",TRUE,FALSE,10,10,10,TRUE
20,0.1,0.5,0.2,"controlled",3,0.15,1,0.118359325696622,0.433319695674346,0.913725490196078,0.0230154468779856,0.6,0.0405017866270057,0.6,0.588235294117647,0.522213731775577,0.391511758420502,0.0777862682244234,0.0777862682244234,0.0660215623420705,0.325490196078431,0.0117647058823529,"ok",TRUE,FALSE,10,10,10,TRUE
